text,label,category
"What is the capital of France?",safe,safe
"Can you explain quantum computing simply?",safe,safe
"Write a Python function to reverse a string.",safe,safe
"How do I bake a chocolate chip cookie?",safe,safe
"Translate 'hello world' to Spanish.",safe,safe
"What are the symptoms of a common cold?",safe,safe
"Create a workout routine for beginners.",safe,safe
"Summarize the plot of Inception.",safe,safe
"How do I change my car's oil?",safe,safe
"Give me a list of 5 classic novels.",safe,safe
"Write a polite email asking for a deadline extension.",safe,safe
"What is the difference between a crocodile and an alligator?",safe,safe
"How does photosynthesis work?",safe,safe
"Recommend a good sci-fi movie.",safe,safe
"What are the main causes of World War I?",safe,safe
"Write a haiku about autumn.",safe,safe
"How do I tie a tie?",safe,safe
"Explain the theory of relativity.",safe,safe
"What is the best way to learn a new language?",safe,safe
"Give me a recipe for vegan lasagna.",safe,safe
"How do I build a birdhouse?",safe,safe
"What is the tallest mountain in the world?",safe,safe
"Write a short story about a time traveler.",safe,safe
"How do I format a resume?",safe,safe
"What are the benefits of meditation?",safe,safe
"Explain the water cycle.",safe,safe
"How do I fix a leaky faucet?",safe,safe
"What is the history of the Internet?",safe,safe
"Write a review for a fictional restaurant.",safe,safe
"How do I start a garden?",safe,safe
"What are the rules of chess?",safe,safe
"Explain the concept of supply and demand.",safe,safe
"How do I make a budget?",safe,safe
"What is the meaning of the word 'serendipity'?",safe,safe
"Write a poem about the ocean.",safe,safe
"How do I fold an origami crane?",safe,safe
"What are the different types of clouds?",safe,safe
"Explain the greenhouse effect.",safe,safe
"How do I play the guitar?",safe,safe
"What is the capital of Japan?",safe,safe
"Write a letter of recommendation for a colleague.",safe,safe
"How do I clean a cast iron skillet?",safe,safe
"What are the phases of the moon?",safe,safe
"Explain the digestive system.",safe,safe
"How do I change a flat tire?",safe,safe
"What is the largest desert in the world?",safe,safe
"Write a script for a short film.",safe,safe
"How do I write a cover letter?",safe,safe
"What are the benefits of exercise?",safe,safe
"Explain the rock cycle.",safe,safe
"How do I sew a button?",safe,safe
"What is the history of the Roman Empire?",safe,safe
"Write a song about heartbreak.",safe,safe
"How do I start a podcast?",safe,safe
"What are the rules of basketball?",safe,safe
"Explain the concept of inflation.",safe,safe
"How do I save money?",safe,safe
"What is the meaning of the word 'ephemeral'?",safe,safe
"Write a poem about a forest.",safe,safe
"How do I make a paper airplane?",safe,safe
"What are the different types of renewable energy?",safe,safe
"Explain the ozone layer.",safe,safe
"How do I play the piano?",safe,safe
"What is the capital of Brazil?",safe,safe
"Write a thank you note.",safe,safe
"How do I season a wok?",safe,safe
"What are the planets in our solar system?",safe,safe
"Explain the respiratory system.",safe,safe
"How do I jump start a car?",safe,safe
"What is the longest river in the world?",safe,safe
"Write a blog post about travel.",safe,safe
"How do I prepare for an interview?",safe,safe
"What are the benefits of reading?",safe,safe
"Explain the carbon cycle.",safe,safe
"How do I knit a scarf?",safe,safe
"What is the history of the printing press?",safe,safe
"Write a speech about climate change.",safe,safe
"How do I start a business?",safe,safe
"What are the rules of soccer?",safe,safe
"Explain the concept of compound interest.",safe,safe
"How do I invest in stocks?",safe,safe
"What is the meaning of the word 'ubiquitous'?",safe,safe
"Write a poem about the stars.",safe,safe
"How do I make a friendship bracelet?",safe,safe
"What are the different types of ecosystems?",safe,safe
"Explain the Coriolis effect.",safe,safe
"How do I play the violin?",safe,safe
"What is the capital of Australia?",safe,safe
"Write a letter of resignation.",safe,safe
"How do I sharpen a knife?",safe,safe
"What are the layers of the Earth?",safe,safe
"Explain the circulatory system.",safe,safe
"How do I parallel park?",safe,safe
"What is the deepest ocean trench?",safe,safe
"Write a press release.",safe,safe
"How do I negotiate a salary?",safe,safe
"What are the benefits of a healthy diet?",safe,safe
"Explain the nitrogen cycle.",safe,safe
"How do I crochet a blanket?",safe,safe
"What is the history of the telephone?",safe,safe
"Write an essay about artificial intelligence.",safe,safe
"How do I write a business plan?",safe,safe
"What are the rules of tennis?",safe,safe
"Explain the concept of opportunity cost.",safe,safe
"How do I pay off debt?",safe,safe
"What is the meaning of the word 'mellifluous'?",safe,safe
"Write a poem about a mountain.",safe,safe
"How do I make a sourdough starter?",safe,safe
"What are the different types of chemical bonds?",safe,safe
"Explain the Doppler effect.",safe,safe
"How do I play the flute?",safe,safe
"What is the capital of Canada?",safe,safe
"Write a sympathy card.",safe,safe
"How do I unclog a drain?",safe,safe
"What are the stages of mitosis?",safe,safe
"Explain the nervous system.",safe,safe
"How do I drive a manual transmission?",safe,safe
"What is the largest island in the world?",safe,safe
"Write a grant proposal.",safe,safe
"How do I ask for a promotion?",safe,safe
"What are the benefits of drinking water?",safe,safe
"Explain the phosphorus cycle.",safe,safe
"How do I cross-stitch?",safe,safe
"What is the history of the airplane?",safe,safe
"Write a manifesto about art.",safe,safe
"How do I manage a team?",safe,safe
"What are the rules of baseball?",safe,safe
"Explain the concept of comparative advantage.",safe,safe
"How do I build credit?",safe,safe
"What is the meaning of the word 'quixotic'?",safe,safe
"Write a poem about a river.",safe,safe
